,C,cv_mse,ext_val_mse,gamma,rcv_mse,test_mse,train_mse
61,100.0,218.40957553035864,111.5956137992711,100.0,224.11175833655614,128.83713604913424,0.23098817933447566
62,100.0,215.9943117426293,111.59605390775648,1000.0,221.67875097428217,128.83725496754215,0.23099503663693638
63,1000.0,213.10476170615038,39.88012229439035,1e-05,218.71393367399932,40.22065410687269,22.64716334116304
64,1000.0,210.3365902106362,23.54595656540183,0.0001,215.8153531782541,36.80448057208145,4.269646493921292
65,1000.0,207.85103656550274,45.676413984395175,0.001,213.26322737987076,95.23496069880724,0.4076419901221685
66,1000.0,205.55969636249395,89.92765425854465,0.01,210.9792897918943,118.30041344644361,0.24462858852505145
67,1000.0,203.42087773162703,97.11041677402629,0.1,208.8517672007271,117.27513546647411,0.23096743798286454
68,1000.0,201.39882405052364,99.67798402869282,1.0,206.83893684082938,123.28089500868371,0.23096471671238158
69,1000.0,199.45878834634993,108.12287522565227,10.0,204.89533569980114,127.73415022583544,0.23098470080757266
70,1000.0,197.5825780661439,111.5956137992711,100.0,203.00712387291367,128.83713604913424,0.23098817933447566
71,1000.0,195.75848611316204,111.59605390775648,1000.0,201.1713623505831,128.83725496754215,0.23099503663693643
72,10000.0,193.49325234260107,38.20394639947325,1e-05,198.88263352279438,33.26218559672948,12.898249101140568
73,10000.0,191.69061872275444,46.681506369840804,0.0001,196.8035011890096,43.59188267155242,2.7530561926856594
74,10000.0,189.75755615198753,46.19966662512233,0.001,194.8156842202665,99.96559673370304,0.24373474060028094
75,10000.0,187.97539725170515,89.92465552584234,0.01,193.04494371306004,118.287961833662,0.23097970707900167
76,10000.0,186.31493792957215,97.11041677402629,0.1,191.3990061805687,117.27513546647411,0.23096743798286476
77,10000.0,184.74550505919606,99.67798402869282,1.0,189.84217881822534,123.28089500868371,0.23096471671238333
78,10000.0,183.23728758935007,108.12287522565227,10.0,188.3351494280243,127.73415022583544,0.23098470080757164
79,10000.0,181.77491972672908,111.5956137992711,100.0,186.86636376161326,128.83713604913424,0.2309881793344752
80,10000.0,180.34866092985712,111.59605390775648,1000.0,185.4338443866484,128.83725496754215,0.23099503663693774
